Location,Min_Length_m,Max_Length_m,Berthing_Tugs_No,Berthing_Rule,Unberthing_Tugs_No,Unberthing_Rule,Additional_Notes
Marsaxlokk – Freeport Terminal 1 West,131,200,2,"If a vessel has a functional bow thruster and /or stern thruster and favourable weather conditions allow, tug resources may be reduced by 1 (one) in line with Port Notice.",2,"If a vessel has a functional bow thruster and /or stern thruster and favourable weather conditions allow, tug resources may be reduced by 1 (one) in line with Port Notice.",
Marsaxlokk – Freeport Terminal 1 West,201,250,2,,2,"If a vessel has a functional bow thruster and /or stern thruster and favourable weather conditions allow, tug resources may be reduced by 1 (one) in line with Port Notice.",
Marsaxlokk – Freeport Terminal 1 West,251,300,2,,2,,
Marsaxlokk – Freeport Terminal 1 North,0,130,1,,1,"If a vessel has a functional bow thruster and /or stern thruster and favourable weather conditions allow, tug resources may be reduced by 1 (one) in line with Port Notice.",
Marsaxlokk – Freeport Terminal 1 North,131,200,2,"If a vessel has a functional bow thruster and /or stern thruster and favourable weather conditions allow, tug resources may be reduced by 1 (one) in line with Port Notice.",2,"If a vessel has a functional bow thruster and /or stern thruster and favourable weather conditions allow, tug resources may be reduced by 1 (one) in line with Port Notice.",
Marsaxlokk – Freeport Terminal 1 North,201,250,2,,2,"If a vessel has a functional bow thruster and /or stern thruster and favourable weather conditions allow, tug resources may be reduced by 1 (one) in line with Port Notice.","If GT is over 70,000, then 3 tugs on arrival subject to the circumstances of the case. "
Marsaxlokk – Freeport Terminal 1 North,251,299,3,"Tug resources can be reduced by 1 (one), subject to the circumstances of the case.",2,,"If GT is over 70,000, then 3 tugs on arrival subject to the circumstances of the case. "
Marsaxlokk – Freeport Terminal 1 North,300,400,3,,2,,
Marsaxlokk – Freeport Terminal 1 North,401,440,4,"If a vessel has a functional bow thruster and /or stern thruster and favourable weather conditions allow, tug resources may be reduced by 1 (one) in line with Port Notice.",3,,
Marsaxlokk – Freeport Terminal 2 South,0,130,1,,1,"If a vessel has a functional bow thruster and /or stern thruster and favourable weather conditions allow, tug resources may be reduced by 1 (one) in line with Port Notice.",
Marsaxlokk – Freeport Terminal 2 South,131,200,2,"If a vessel has a functional bow thruster and /or stern thruster and favourable weather conditions allow, tug resources may be reduced by 1 (one) in line with Port Notice.",2,"If a vessel has a functional bow thruster and /or stern thruster and favourable weather conditions allow, tug resources may be reduced by 1 (one) in line with Port Notice.",
Marsaxlokk – Freeport Terminal 2 South,201,250,2,,2,"If a vessel has a functional bow thruster and /or stern thruster and favourable weather conditions allow, tug resources may be reduced by 1 (one) in line with Port Notice.","If GT is over 70,000, then 3 tugs on arrival subject to the circumstances of the case. "
Marsaxlokk – Freeport Terminal 2 South,251,299,3,"Tug resources can be reduced by 1 (one), subject to the circumstances of the case.",2,,"If GT is over 70,000, then 3 tugs on arrival subject to the circumstances of the case. "
Marsaxlokk – Freeport Terminal 2 South,300,400,3,,3,,
Marsaxlokk – Freeport Terminal 2 South,401,440,4,"Tug resources can be reduced by 1 (one), subject to the circumstances of the case.",3,,
Marsaxlokk – Freeport Terminal 2 West,0,130,1,,1,"If a vessel has a functional bow thruster and /or stern thruster and favourable weather conditions allow, tug resources may be reduced by 1 (one) in line with Port Notice.",
Marsaxlokk – Freeport Terminal 2 West,131,200,2,"If a vessel has a functional bow thruster and /or stern thruster and favourable weather conditions allow, tug resources may be reduced by 1 (one) in line with Port Notice.",2,"If a vessel has a functional bow thruster and /or stern thruster and favourable weather conditions allow, tug resources may be reduced by 1 (one) in line with Port Notice.",
Marsaxlokk – Freeport Terminal 2 West,201,250,2,,2,"If a vessel has a functional bow thruster and /or stern thruster and favourable weather conditions allow, tug resources may be reduced by 1 (one) in line with Port Notice.",
Marsaxlokk – Freeport Terminal 2 West,251,300,2,,2,,
Marsaxlokk – Freeport Terminal 2 North,0,130,1,,1,"If a vessel has a functional bow thruster and /or stern thruster and favourable weather conditions allow, tug resources may be reduced by 1 (one) in line with Port Notice.",
Marsaxlokk – Freeport Terminal 2 North,131,200,2,"If a vessel has a functional bow thruster and /or stern thruster and favourable weather conditions allow, tug resources may be reduced by 1 (one) in line with Port Notice.",2,"If a vessel has a functional bow thruster and /or stern thruster and favourable weather conditions allow, tug resources may be reduced by 1 (one) in line with Port Notice.",
Marsaxlokk – Freeport Terminal 2 North,201,250,2,,2,"If a vessel has a functional bow thruster and /or stern thruster and favourable weather conditions allow, tug resources may be reduced by 1 (one) in line with Port Notice.","If GT is over 70,000, then 3 tugs on arrival subject to the circumstances of the case. "
Marsaxlokk – Freeport Terminal 2 North,251,299,2,,2,,"If GT is over 70,000, then 3 tugs on arrival subject to the circumstances of the case. "
Marsaxlokk – Freeport Terminal 2 North,300,400,3,,2,,
Marsaxlokk – Freeport Terminal 2 North,401,440,4,"If a vessel has a functional bow thruster and /or stern thruster and favourable weather conditions allow, tug resources may be reduced by 1 (one) in line with Port Notice.",3,,
Marsaxlokk – EVOS / Medserv Terminal,0,130,2,"If a vessel has a functional bow thruster and /or stern thruster and favourable weather conditions allow, tug resources may be reduced by 1 (one) in line with Port Notice.",2,"If a vessel has a functional bow thruster and /or stern thruster and favourable weather conditions allow, tug resources may be reduced by 1 (one) in line with Port Notice.",
Marsaxlokk – EVOS / Medserv Terminal,131,200,2,,2,,
Marsaxlokk – EVOS / Medserv Terminal,201,300,3,,2,,
Marsaxlokk – Delimara Power Station,0,130,2,"If a vessel has a functional bow thruster and /or stern thruster and favourable weather conditions allow, tug resources may be reduced by 1 (one) in line with Port Notice.",2,"If a vessel has a functional bow thruster and /or stern thruster and favourable weather conditions allow, tug resources may be reduced by 1 (one) in line with Port Notice.",No night time restrictions subject to mooring team agreeing to work depending on the availability of lighting� (pilot tariff x 2 noting MMP have to engage at a cost the oversight of the pilot vessel without an additional pilot to monitor mooring buoys at ?as-Saptan dolphins during manoeuvring). Starboard side preferred berthing arrangement whenever possible subject to Master and position of manifold.
Marsaxlokk – Delimara Power Station,131,300,2,,2,,No night time restrictions subject to mooring team agreeing to work depending on the availability of lighting� (pilot tariff x 2 noting MMP have to engage at a cost the oversight of the pilot vessel without an additional pilot to monitor mooring buoys at ?as-Saptan dolphins during manoeuvring). Starboard side preferred berthing arrangement whenever possible subject to Master and position of manifold.
Marsaxlokk – LNG Terminal,0,400,4,,4,,Daylight restrictions apply for inbound
Marsaxlokk – Haas-Saptan Fuelling Dolphin,0,130,2,"If a vessel has a functional bow thruster and /or stern thruster and favourable weather conditions allow, tug resources may be reduced by 1 (one) in line with Port Notice.",1,,Daylight restriction applies
Marsaxlokk – Haas-Saptan Fuelling Dolphin,131,240,2,,2,,Daylight restriction applies
"Mgarr Harbour, Gozo – Quay #3",0,80,1,,1,"If a vessel has a functional bow thruster and /or stern thruster and favourable weather conditions allow, tug resources may be reduced by 1 (one) in line with Port Notice.",Daylight restriction applies
